Timestamp,Are these things sports? [Chess],Are these things sports? [eSports (Videogames)],Are these things sports? [Ping Pong (Table Tennis)],Are these things sports? [Foosball],Are these things sports? [Skiing],Are these things sports? [Snowboarding],Are these things sports? [Cycling],Are these things sports? [Bowling],Are these things sports? [Golf],Are these things sports? [Ultimate Frisbee],Are these things sports? [Sailing],Are these things sports? [Rowing (Crew)],Are these things sports? [Frisbee Golf],Are these things sports? [Kickball],Are these things sports? [Scrabble],Are these things sports? [Cornhole],Are these things sports? [Pickleball],"In a few words, what makes a sport a sport in your opinion?",Which of the following have you played in the past year?,Which of the following is your favorite to play?,How often would you say you watch televised sports or sports content on channels like ESPN?,Which one of the following best describes you?,Please rate your opinion towards P.E./Gym Class when you were in school.,What is your age?,To which gender do you most closely identify?,Which race/ethnicity best describes you? (Please choose only one.),What was your total household income before taxes during the past 12 months?,In which state do you currently live?,"What zip code did you grow up in? (Enter ""00000"" if outside of the US)",Are these things sports? [NASCAR],Are these things sports? [Crossfit]
10/18/2019 11:55:56,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,physical exertion + competition ,Scrabble,Scrabble,Once a month,Casual mainstream/traditional sports fan,1,40-44,Female,White/Caucasian,"$50,000 to $100,000",Pennsylvania,50014,,
10/18/2019 12:11:02,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,,"Chess, eSports (Videogames)",Basketball,Once a week,Casual mainstream/traditional sports fan,5,30-34,Female,Black or African American,"Over $100,000",Florida,29414,,
10/18/2019 12:13:21,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,"If its something you can take a break and walk away from and come back days later and continue, its not a spirt. IE board games and video games.","Soccer, Football, eSports (Videogames), Bowling, Basketball, Rowing (Crew)",Kickball,A few times a week,Casual mainstream/traditional sports fan,3,45-49,Male,White/Caucasian,"Over $100,000",Georgia,30263,,
10/18/2019 12:18:58,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,"some combination of moderate to intense physical activity, skill, and competition","eSports (Videogames), Bowling, Golf, Sailing",Sailing,Once a week,Casual mainstream/traditional sports fan,3,30-34,Female,White/Caucasian,"$50,000 to $100,000",Maryland,22102,,
10/18/2019 12:19:24,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,The ability to make it competitive,"Bowling, Scrabble",Scrabble,Once a week,Casual mainstream/traditional sports fan,2,30-34,Prefer not to say,White/Caucasian,"$50,000 to $100,000",Wisconsin,49127,,
10/18/2019 12:47:38,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Direct physical competition with non-judge-based scoring.,eSports (Videogames),Rugby,Once a week,Casual mainstream/traditional sports fan,4,35-39,Female,White/Caucasian,"$50,000 to $100,000",Maryland,60640,,
10/18/2019 13:02:39,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Competition and practice making you better at it. ,"Soccer, Snowboarding, Cycling, Ping Pong, Bowling, Golf, Frisbee Golf, Kickball, Scrabble",Bowling,Daily,Avid mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"Over $100,000",Michigan,48103,,
10/18/2019 13:06:17,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Requires a combination of physical and technical skill.,"Soccer, eSports (Videogames)",Soccer,A few times a week,Avid mainstream/traditional sports fan,4,35-39,Male,White/Caucasian,"$50,000 to $100,000",District of Columbia,33031,,
10/18/2019 13:37:40,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,athletic prowess plus competition,"Soccer, Volleyball, Cycling, Ping Pong, Basketball, Scrabble, Pickleball",Soccer,A few times a week,Avid mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"Over $100,000",Washington,20910,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly
10/18/2019 13:39:09,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,movement + muscle mass + reflexes ,"Cycling, Cornhole",Cycling,Once a month,Not a mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,Not sure/Refuse,District of Columbia,87122,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 13:42:22,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,competitive; to be the best you have to have athletic talent and skill,"Skiing, Cycling, Bowling, Scrabble, Cornhole",Scrabble,Once a month,Casual mainstream/traditional sports fan,3,25-29,Female,White/Caucasian,"$50,000 to $100,000",District of Columbia,10604,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 13:42:39,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,"Pure subjectivity, obviously. Chess boxing is definitely the greatest sport, for example, and it isn't even on your list.","Chess, Soccer, Skiing, Cycling, Foosball, Ultimate Frisbee, Sailing, Scrabble, Cornhole",Skiing,Once a week,Casual mainstream/traditional sports fan,4,30-34,Male,White/Caucasian,"Over $100,000",District of Columbia,13159,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 13:43:24,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"Physicality, prowess, competition.","Chess, Volleyball, Skiing, Cycling, Bowling, Scrabble",Volleyball,Once a week,Casual mainstream/traditional sports fan,4,25-29,Female,Black or African American,"$50,000 to $100,000",District of Columbia,94585,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 13:45:11,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,a competition with defined rules that requires physical activity more elaborate than can be performed while sitting in a chair,"Cycling, Bowling, Scrabble",Cycling,Once a month,Not a mainstream/traditional sports fan,3,50+,Male,White/Caucasian,"Over $100,000",District of Columbia,60067,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 13:56:17,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Requires both physical exertion and skill during the competition.l ,"Chess, Cycling",Cycling,Once a month,Not a mainstream/traditional sports fan,3,45-49,Gender Fluid,White/Caucasian,"$50,000 to $100,000",Texas,74112,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 14:05:52,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,1) Involves athleticism 2) Is based on a measurable way to determine a winner. These two rule out things like chess (2 but not 1) and figure skating (1 but not 2).,"eSports (Videogames), Foosball, Bowling, Frisbee Golf, Scrabble, Cornhole",eSports (Videogames),Daily,Avid mainstream/traditional sports fan,2,35-39,Male,White/Caucasian,"Over $100,000",Minnesota,56320,Sport - Feel Strongly,Sport - Feel Strongly
10/18/2019 14:08:27,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,,"Skiing, Cycling",Cycling,A few times a week,Avid mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,"Under $50,000",Washington,28269,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 14:11:36,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,"Anything that has a set of rules, some sort of competition, and clear boundaries","Football, eSports (Videogames), Ping Pong, Foosball, Bowling, Golf, Ultimate Frisbee, Frisbee Golf, Kickball, Scrabble, Cornhole",Ultimate Frisbee,Once a month,Casual mainstream/traditional sports fan,2,25-29,Male,White/Caucasian,"Under $50,000",Massachusetts,33486,Sport - Feel Strongly,Sport - Feel Strongly
10/18/2019 14:12:00,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,"Objective competition based on human effort, must be more than just a game",Ping Pong,Chess,A few times a week,Not a mainstream/traditional sports fan,1,50+,Male,Multiple ethnicity/Other,Not sure/Refuse,Illinois,60606,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/18/2019 14:16:42,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,a competition that requires physical prowess,"Chess, Football, eSports (Videogames), Ping Pong, Foosball, Bowling, Ultimate Frisbee, Scrabble, Cornhole",Ultimate Frisbee,Once a week,Casual mainstream/traditional sports fan,3,30-34,Male,White/Caucasian,"Over $100,000",District of Columbia,20011,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
10/18/2019 14:17:14,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,,Scrabble,Scrabble,Once a month,Casual mainstream/traditional sports fan,2,35-39,Female,White/Caucasian,"Over $100,000",District of Columbia,63105,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
