,string_text
162,"12/1/20 1:50 PM+1REPLY
"
163,"12/1/20 12:44 PM+9REPLY
"
164,"12/1/20 1:06 PM+8REPLY
"
165,"12/2/20 8:35 AM+1REPLY
"
166,"12/2/20 8:38 AM+1REPLY
"
167,"1. Nation of Language - Introduction, Presence
"
168,"2. Nothing  - The Great Dismal
"
169,"3. Dehd - Flower of Devotion
"
170,"4. Waxahatchee - Saint Cloud
"
171,"5. Protomatyr - Ultimate Success Today
"
172,"6. Mourn - Self Worth
"
173,"7. Jeff Rosenstock - No Dream
"
174,"8. George Clanton & Nick Hexum - George Clanton & Nick Hexum
"
175,"9. Fleet Foxes - Shore
"
176,"10. Oneohtrix Point Never - Magic OPN
"
177,"11. Samia - The Baby
"
178,"12. Oh Sees - Protean Threat
"
179,"13. Bartees Strange - Live Forever
"
180,"14. Teenage Halloween - Teenage Halloween
"
181,"15. Destroyer - Have We Met
"
182,"16. Dogleg - Melee
"
183,"17. Hum - Inlet
"
184,"18. Phoebe Bridgers - Punisher
"
185,"19. Porridge Radio - Every Bad
"
186,"20. Yves Tumor - Heaven to a Tortured Mind
"
187,"21. Pure X - Pure X
"
188,"22. Hazel English - Wake UP!
"
189,"23. Westerman - Your Hero is Not Dead
"
190,"24. Bright Eyes - Down in the Weeds, Where the World Once Was
"
191,"25. Future Islands - As Long As You Are
"
192,"12/1/20 10:12 AM+24REPLY
"
193,"12/1/20 10:35 AM+13REPLY
"
194,"12/1/20 10:42 AM+2REPLY
"
195,"12/1/20 10:44 AM+4REPLY
"
196,"12/1/20 11:01 AM+4REPLY
"
197,"12/1/20 11:11 AM+8REPLY
"
198,"12/1/20 11:24 AM+3REPLY
"
199,"12/1/20 11:54 AM+10REPLY
"
200,"12/1/20 12:05 PM+4REPLY
"
201,"12/1/20 12:09 PM+3REPLY
"
202,"12/1/20 1:01 PM+7REPLY
"
203,"12/1/20 2:01 PM+3REPLY
"
204,"12/1/20 10:58 AM+12REPLY
"
205,"64percentmice
"
206,"12/1/20 11:03 AM+17REPLY
"
207,"12/1/20 12:37 PM+3REPLY
"
208,"12/1/20 11:07 AM+10REPLY
"
209,"12/1/20 11:35 AM+4REPLY
"
210,"12/1/20 12:40 PM+3REPLY
"
211,"12/1/20 12:56 PM+5REPLY
"
212,"12/1/20 8:04 PM0REPLY
"
213,"12/1/20 1:50 PM+1REPLY
"
214,"12/1/20 4:03 PM+2REPLY
"
215,"12/1/20 4:42 PM+6REPLY
"
216,"12/1/20 4:48 PM+2REPLY
"
217,"12/1/20 7:40 PM+1REPLY
"
218,"12/1/20 8:01 PM+1REPLY
"
219,"12/1/20 1:00 PM+3REPLY
"
220,"12/1/20 1:02 PM+3REPLY
"
221,"12/2/20 8:40 AM+1REPLY
"
222,"12/1/20 11:23 AM+5REPLY
"
223,"12/2/20 11:05 AM+1REPLY
"
224,"2019 was the year I finally got around to PJ Harvey and I also found myself frequently wondering why I waited so long. What are your favorites so far??
"
225,"12/1/20 11:00 AM+10REPLY
"
226,"12/1/20 11:22 AM+5REPLY
"
227,"12/1/20 12:06 PM+3REPLY
"
228,"12/1/20 12:48 PM+4REPLY
"
229,"12/1/20 3:04 PM+2REPLY
"
230,"12/1/20 3:07 PM+1REPLY
"
231,"12/1/20 5:25 PM+6REPLY
"
232,"12/1/20 6:25 PM+2REPLY
"
233,"12/1/20 11:28 AM+5REPLY
"
234,"12/1/20 2:06 PM+4REPLY
"
235,"12/1/20 12:15 PM+1REPLY
"
236,"12/1/20 1:18 PM+1REPLY
"
237,"12/1/20 12:28 PM+8REPLY
"
238,"12/1/20 12:41 PM+3REPLY
"
239,"12/1/20 3:09 PM0REPLY
"
240,"12/1/20 9:19 PM+4REPLY
"
241,"12/1/20 1:13 PM+1REPLY
"
242,"12/1/20 3:11 PM+3REPLY
"
243,"12/1/20 3:53 PM+2REPLY
"
244,"12/2/20 10:21 AM+2REPLY
"
245,"12/2/20 10:52 AM0REPLY
"
246,"12/1/20 2:55 PM+8REPLY
"
247,"12/1/20 6:50 PM+3REPLY
"
248,"12/1/20 8:51 PM+3REPLY
"
249,"070 Shake - Modus Vivendi
"
250,"12/1/20 10:13 AM+19REPLY
"
251,"12/1/20 10:34 AM+4REPLY
"
252,"12/1/20 11:07 AM+3REPLY
"
253,"12/1/20 12:57 PM+2REPLY
"
254,"12/1/20 4:51 PM+1REPLY
"
255,"12/1/20 10:42 AM+5REPLY
"
256,"12/1/20 12:47 PM+3REPLY
"
257,"12/1/20 1:49 PM+5REPLY
"
258,"12/1/20 4:53 PM+3REPLY
"
259,"12/1/20 9:30 PM+1REPLY
"
260,"1. Off-Key in Hamburg is severely underdiscussed.
"
261,"2. Why isn't DONDA number one on the list? Huh, Gum? HUH?!
"
262,"12/1/20 11:01 AM+1REPLY
"
263,"12/1/20 12:08 PM+2REPLY
"
264,"12/1/20 4:58 PM+1REPLY
"
265,"12/1/20 1:06 PM+3REPLY
"
266,"12/1/20 4:57 PM+1REPLY
"
267,"12/1/20 10:15 AM+3REPLY
"
268,"12/1/20 11:42 AM+11REPLY
"
269,"12/1/20 10:16 AM+16REPLY
"
270,"12/1/20 10:30 AM+2REPLY
"
271,"12/1/20 11:17 AM+3REPLY
"
272,"12/1/20 12:11 PM+1REPLY
"
273,"12/1/20 3:22 PM+3REPLY
"
274,"12/1/20 10:19 AM+8REPLY
"
275,"12/1/20 11:02 AM+1REPLY
"
276,"12/1/20 11:11 AM+1REPLY
"
277,"1. Porridge Radio-Every Bad
"
278,"2. The 1975-Notes On A Conditional Form
"
279,"3. Sufjan Stevens-The Ascension
"
280,"4. Nicolas Jaar-Cenizas
"
281,"5. Phoebe Bridgers-Punisher
"
282,"6. Yves Tumor-Heaven To A Tortured Mind
"
283,"7. Grimes-Miss Anthropocene
"
284,"8. Bartees Strange-Live Forever
"
285,"9. Oneohtrix Point Never-Magic Oneohtrix Point Never
"
286,"10. Ela Minus-Acts of Rebellion
"
287,"11. Jessie Ware-What's Your Pleasure
"
288,"12. Kelly Lee Owens-Inner Song
"
289,"13. Young Jesus-Welcome To Conceptual Beach
"
290,"14. Soccer Mommy-Color Theory
"
291,"15. Sorry-925
"
292,"16. Fontaines D.C.-A Hero's Death
"
293,"17. Sault-Untitled (Rise)
"
294,"18. Nation of Language-Introduction, Presence
"
295,"19. Roisin Murphy-Roisin Machine
"
296,"20. I Break Horses-Warnings
"
297,"21. Westerman-Your Hero Is Not Dead
"
298,"22. Midwife-Forever
"
299,"23. Car Seat Headrest-Making A Door Less Open
"
300,"24. Moses Sumney-Grae
"
301,"25. Elvis Depressedly-Depressedelica
"
302,"26. Jerskin Fendrix-Winterreise
"
303,"27. Rina Sawayama-SAWAYAMA
"
304,"28. Caribou-Suddenly
"
305,"29. Fiona Apple-Fetch The Bolt Cutters
"
306,"30. Destroyer-Have We Met
"
307,"12/1/20 10:19 AM+19REPLY
"
308,"12/1/20 11:07 AM+11REPLY
"
309,"12/1/20 11:22 AM+5REPLY
"
310,"12/1/20 12:11 PM+8REPLY
"
311,"12/1/20 1:28 PM+4REPLY
"
312,"12/1/20 3:11 PM+3REPLY
"
313,"12/1/20 11:46 AM+1REPLY
"
314,"12/1/20 1:29 PM+1REPLY
"
315,"1. Porridge Radio - Every bad
"
316,"2. Waxahatchee - Saint cloud
"
317,"3. Nation of Language - Introduction, Presence
"
318,"4. The Strokes - The New Abnormal
"
319,"5. Sault - Untitled (Rise)
"
320,"6. Kelly Lee Owens - Inner Song
"
321,"7. Against all logic - 2017 - 2019
"
322,"8. Sylvan Esso - Free Love
"
323,"9. Run the Jewels - RTJ4
"
324,"10. Boldy James - The Price of Tea in China
"
325,"11. Wolf Parade - Thin Mind
"
326,"12/1/20 12:17 PM+13REPLY
"
327,"12/1/20 1:30 PM+9REPLY
"
328,"12/1/20 6:32 PM+2REPLY
"
329,"12/1/20 3:01 PM+6REPLY
"
330,"12/1/20 3:55 PM+1REPLY
"
331,"12/1/20 6:36 PM0REPLY
"
332,"12/1/20 7:04 PM+1REPLY
"
333,"12/1/20 8:42 PM+1REPLY
"
334,"12/1/20 10:19 AM+17REPLY
"
335,"12/1/20 10:19 AM+18REPLY
"
336,"12/1/20 10:26 AM+10REPLY
"
337,"12/1/20 10:43 AM+6REPLY
"
338,"12/1/20 12:58 PM+14REPLY
"
339,"12/1/20 2:00 PM+6REPLY
"
340,"12/1/20 12:51 PM+11REPLY
"
341,"12/1/20 1:08 PM+3REPLY
"
342,"12/2/20 8:50 AM+1REPLY
"
343,"12/2/20 10:17 AM+1REPLY
"
344,"12/1/20 10:19 AM+5REPLY
"
345,"0. The War on Drugs - LIVE DRUGS (Lifetime Achievement Award)
"
346,"1. I’m Glad It’s You - Every Sun, Every Moon
"
347,"2. Trace Mountains - Lost in the Country
"
348,"3. Waxahatchee - Saint Cloud
"
349,"4. SAULT - Untitled (Rise)
"
350,"5. Rolling Blackouts CF - Sideways to New Italy
"
351,"6. Sufjan Stevens - The Ascension
"
352,"7. Jeff Rosenstock - No Dream
"
353,"8. Bartees Strange - Live Forever
"
354,"9. Fiona Apple - Fetch The Bolt Cutters
"
355,"10. Young Jesus - Welcome To Conceptual Beach
"
356,"11. The 1975 - Notes On A Conditional Form
"
357,"12. The Killers - Imploding The Mirage
"
358,"13. Fleet Foxes - Shore
"
359,"14. Westerman - ...Your Hero Is Not Dead
"
360,"15. SAULT - Untitled (Black Is)
"
361,"16. Run The Jewels - RTJ4
"
362,"17. Dogleg - Melee
"
363,"18. Haim - Women In Music Pt. III
"
364,"19. I Love Your Lifestyle - No Driver
"
365,"20. Weave - The Sound II
"
366,"12/1/20 10:21 AM+29REPLY
"
367,"12/1/20 10:27 AM+10REPLY
"
368,"12/1/20 11:23 AM+3REPLY
"
369,"12/1/20 10:43 AM+1REPLY
"
370,"12/1/20 11:27 AM+3REPLY
"
371,"12/1/20 11:32 AM+8REPLY
"
372,"12/1/20 12:18 PM+8REPLY
"
373,"12/1/20 12:47 PM+4REPLY
"
374,"12/1/20 1:54 PM+1REPLY
"
375,"12/1/20 3:24 PM+2REPLY
"
376,"12/1/20 4:11 PM+1REPLY
"
377,"12/1/20 12:46 PM+1REPLY
"
378,"12/1/20 11:11 AM+6REPLY
"
379,"12/1/20 2:15 PM+2REPLY
"
380,"12/1/20 11:25 AM+2REPLY
"
381,"12/1/20 1:04 PM+5REPLY
"
382,"12/1/20 2:04 PM+3REPLY
"
383,"12/1/20 1:09 PM+4REPLY
"
384,"12/1/20 3:03 PM+4REPLY
"
385,"12/1/20 6:53 PM+3REPLY
"
386,"1. Fiona Apple- Fetch The Bolt Cutters
"
387,"2. Jessie Ware- What’s Your Pleasure
"
388,"3. Taylor Swift- Folklore
"
389,"4. The Killers- Imploding The Mirage
"
390,"5. Dua Lipa- Future Nostalgia
"
391,"6. Laura Marling- Song For Our Daughter
"
392,"7. Lady Gaga- Chromatica
"
393,"8. Hailey Whitters- The Dream
"
394,"9. Roisin Murphy- Roisin Machine
"
395,"10. Bartees Strange- Live Forever
"
396,"11. Kylie Minogue- DISCO
"
397,"12. Tkay Maidza- Last Year Was Weird, Vol. 2
"
398,"13. Charli XCX- how i’m feeling now
"
399,"14. Waxahatchee- Saint Cloud
"
400,"15. Perfume Genius- Set My Heart On Fire Immediately
"
401,"16. Nation of Language- Introduction, Presence
"
402,"17. Dogleg- Melee
"
403,"18. BENEE- Hey u x
"
404,"19. Destroyer- Have We Met
"
405,"20. Pure X- Pure X
"
406,"21. Soccer Mommy- color theory
"
407,"22. Run The Jewels- RTJ4
"
408,"23. Westerman- Your Hero Is Not Dead
"
409,"24. Yves Tumor- Heaven To A Tortured Mind
"
410,"25. Empress Of- I’m Your Empress Of
"
411,"26. U.S. Girls- Heavy Light
"
412,"27. Loma- Don’t Shy Away
"
413,"28. Sam Hunt- SOUTHSIDE
"
414,"12/1/20 10:21 AM+13REPLY
"
415,"12/1/20 10:29 AM+7REPLY
"
416,"12/1/20 10:35 AM+4REPLY
"
417,"12/1/20 10:48 AM+3REPLY
"
418,"12/1/20 11:05 AM+5REPLY
"
419,"12/1/20 11:30 AM+1REPLY
"
420,"12/1/20 11:47 AM+5REPLY
"
421,"12/1/20 1:22 PM+4REPLY
"
422,"12/1/20 2:26 PM+3REPLY
"
423,"12/1/20 1:18 PM+3REPLY
"
424,"12/1/20 1:31 PM+5REPLY
"
425,"12/1/20 2:24 PM+5REPLY
"
426,"12/1/20 8:23 PM+1REPLY
"
427,"12/1/20 1:24 PM+1REPLY
"
428,"2nahelper
"
429,"12/1/20 2:38 PM+1REPLY
"
430,"12/1/20 10:23 AM+29REPLY
"
431,"12/1/20 12:56 PM+4REPLY
"
432,"12/2/20 8:43 AM+1REPLY
"
433,"1) Microphones in 2020 // The Microphones
"
434,"2) 2017-2019 // Against All Logic
"
435,"3) Eternal Atake (Deluxe) // Lil Uzi Vert
"
436,"4) The Ascension // Sufjan Stevens
"
437,"5) Shrines // Armand Hammer
"
438,"6) Notes on a Conditional Form // The 1975
"
439,"7) What's Your Pleasure? // Jessie Ware
"
440,"8) Inlet // Hum
"
441,"9) 1000 gecs and The Tree of Clues // 100 gecs
"
442,"10) SIGN // Autechre
"
443,"11) No Dream // Jeff Rosenstock
"
444,"12) PLUS // Autechre
"
445,"13) Fetch the Bolt Cutters // Fiona Apple
"
446,"14) Telas // Nicolas Jaar
"
447,"15) Descendants of Cain // Ka
"
448,"16) Punisher // Phoebe Bridgers
"
449,"17) The Slow Rush // Tame Impala
"
450,"18) Spirit World Field Guide // Aesop Rock
"
451,"19) Magic Oneohtrix Point Never // Oneohtrix Point Never
"
452,"20) Roisin Machine // Roisin Murphy
"
453,"12/1/20 10:23 AM+15REPLY
"
454,"12/1/20 12:08 PM+7REPLY
"
455,"12/1/20 2:30 PM+4REPLY
"
456,"12/1/20 2:35 PM+8REPLY
"
457,"12/1/20 8:36 PM+5REPLY
"
458,"12/1/20 12:41 PM+4REPLY
"
459,"12/1/20 3:51 PM+3REPLY
"
460,"1 - Annie - Dark Hearts
"
461,"2 - Creeper - Sex, Death & the Infinite Void
"
462,"3 - James Dean Bradfield - Even in Exile
"
463,"4 - Laura Marling - Songs for our Daughter
"
464,"5 - Sufjan Stevens - The Ascension
"
465,"6 - Austra - HiRUNDiN
"
466,"7 - Fleet Foxes - Shores
"
467,"8 - Nadine Shah - Kitchen Sink
"
468,"9 - Poppy - I Disagree
"
469,"10 - Julianna Barwick - Healing is a Miracle
"
470,"12/1/20 10:23 AM+15REPLY
"
471,"12/1/20 10:58 AM0REPLY
"
472,"12/1/20 11:31 AM+2REPLY
"
473,"12/1/20 9:41 PM+1REPLY
"
474,"1) Jeff Rosenstock - No Dream
"
475,"2) Waxahatchee - Saint Cloud
"
476,"3) Perfume Genius - Set My Heart on Fire Immediately
"
477,"4) Caribou - Suddenly
"
478,"5) Phoebe Bridgers - Punisher
"
479,"6) Mac Miller - Circles
"
480,"7) Bright Eyes - Down in the Weeds...
"
481,"8) Fiona Apple - Fetch the Bolt Cutters
"
482,"9) Freddie Gibbs & Alchemist - Alfredo
"
483,"10) Fleet Foxes - Shore
"
484,"11) Moses Sumney - grae
"
485,"12) Thao & The Get Down Stay Down - Temples
"
486,"13) Sufjan - The Ascension
"
487,"14) Open Mike Eagle - Anime, Trauma, Divorce
"
488,"15) En Attendant Ana - Juliett
"
489,"12/1/20 10:24 AM+9REPLY
"
490,"12/1/20 10:31 AM+12REPLY
"
491,"12/1/20 11:26 AM+8REPLY
"
492,"12/1/20 11:39 AM+9REPLY
"
493,"12/1/20 11:44 AM+5REPLY
"
494,"12/1/20 11:47 AM+3REPLY
"
495,"12/1/20 1:26 PM+4REPLY
"
496,"12/1/20 1:12 PM+5REPLY
"
497,"12/1/20 12:07 PM+7REPLY
"
498,"12/1/20 1:11 PM+1REPLY
"
499,"12/1/20 12:49 PM+1REPLY
"
500,"12/1/20 12:48 PM+3REPLY
"
501,"12/1/20 4:44 PM+1REPLY
"
502,"12/1/20 5:58 PM+2REPLY
"
503,"12/1/20 11:05 AM0REPLY
"
504,"12/1/20 11:12 AM+1REPLY
"
505,"12/1/20 11:55 AM0REPLY
"
506,"12/1/20 11:14 AM+5REPLY
"
507,"12/1/20 12:20 PM+4REPLY
"
508,"12/1/20 4:43 PM+1REPLY
"
509,"12/1/20 8:55 PM+1REPLY
"
510,"01. Mare Cognitum & Spectral Lore - Wanderers: Astrology of the Nine
"
511,"02. Oranssi Pazuzu – Mestarin Kynsi
"
512,"03. Fiona Apple – Fetch The Bolt Cutters
"
513,"04. Emma Ruth Rundle & Thou – May Our Chambers Be Full
"
514,"05. Phoebe Bridgers – Punisher
"
515,"06. Gulch – Impenetrable Cerebral Fortress
"
516,"07. Pallbearer – Forgotten Days
"
517,"08. Couch Slut – Take a Chance On Rock n Roll
"
518,"09. Boldy James & Sterling Toles – Manger On McNichols
"
519,"10. Infant Island – Beneath
"
520,"11. Angel Bat Dawid & Tha Brotherhood – LIVE
"
521,"12. Svalbard – When I Die, Will I Get Better?
"
522,"13. Spirit Adrift – Enlightened In Eternity
"
523,"14. Napalm Death – Throes of Joy In the Jaws of Defeatism
"
524,"15. Yves Tumor – Heaven to a Tortured Mind
"
525,"16. Moor Mother – Circuit City
"
526,"17. Run The Jewels – RTJ4
"
527,"18. Sweven – The Eternal Resonance
"
528,"19. Bedsore – Hypnogogic Hallucinations
"
529,"20. Perfume Genius – Set My Heart On Fire Immediately
"
530,"12/1/20 10:24 AM+16REPLY
"
531,"12/1/20 10:50 AM+8REPLY
"
532,"12/1/20 11:09 AM+5REPLY
"
533,"12/1/20 11:48 AM+7REPLY
"
534,"12/1/20 12:54 PM+7REPLY
"
535,"12/1/20 8:38 PM+1REPLY
"
536,"12/1/20 11:03 AM+5REPLY
"
537,"12/1/20 11:12 AM+4REPLY
"
538,"12/1/20 11:38 AM+4REPLY
"
539,"12/1/20 12:55 PM+4REPLY
"
540,"12/1/20 1:04 PM+3REPLY
"
541,"12/1/20 5:00 PM+4REPLY
"
542,"12/1/20 7:01 PM+2REPLY
"
543,"12/1/20 11:55 AM+3REPLY
"
544,"12/1/20 12:55 PM+2REPLY
"
545,"12/1/20 12:21 PM+3REPLY
"
546,"12/1/20 12:56 PM+3REPLY
"
547,"12/1/20 1:05 PM+4REPLY
"
548,"12/1/20 1:15 PM+2REPLY
"
549,"12/1/20 7:02 PM+1REPLY
"
550,"1. Xibalba
"
551,"2. Sivyj Yar
"
552,"3. Ulcerate
"
553,"4. Afterbirth
"
554,"5. Ulthar
"
555,"6. The Ocean
"
556,"7. Molassess
"
557,"8. Atramentus
"
558,"9. Bedsore
"
559,"10. Sweven
"
560,"11. Turia
"
561,"12. MSW
"
562,"13. Chrome Ghost
"
563,"14. Intronaut
"
564,"15. Eternal Champion
"
565,"16. Thou & ERR
"
566,"17. The Acacia Strain - It Comes In Waves
"
567,"18. The Acacia Strain - Slow Decay
"
568,"19. Defeated Sanity
"
569,"20. Spirit Adrift
"
570,"12/1/20 10:24 AM+8REPLY
"
571,"12/1/20 10:46 AM+4REPLY
"
572,"12/1/20 10:56 AM+4REPLY
"
573,"12/1/20 11:28 AM+4REPLY
"
574,"12/1/20 11:26 AM+6REPLY
"
575,"12/1/20 7:05 PM+2REPLY
"
576,"1. Fiona Apple – Fetch the Bolt Cutters
"
577,"2. The Killers – Imploding the Mirage
"
578,"3. Waxahatchee – Saint Cloud
"
579,"4. Haim – Women in Music Pt. III
"
580,"5. Bonny Light Horseman – Bonny Light Horseman
"
581,"6. Lianne La Havas – Lianne La Havas
"
582,"7. Run the Jewels – RTJ4
"
583,"8. This is the Kit – Off Off On
"
584,"9. Courtney Marie Andrews – Old Flowers
"
585,"10. Fleet Foxes - Shore
"
586,"11. Kevin Morby – Sundowner
"
587,"12. Adrianne Lenker – songs
"
588,"13. Moses Sumney – grae
"
589,"14. Phoebe Bridgers – Punisher
"
590,"15. Laura Marling – Song For Our Daughter
"
